,Comb,Formate,CO,C1+,H2
47,Al_Pt,0.11396396671638698,0.0008132603581078734,0.48905634775601287,0.1747167915907018
48,Al_Re,0.004504507107690755,0.0,0.22916462627808068,0.4933431997759892
49,Al_Rh,0.027275218309908866,0.0,0.497381330769391,0.3142815840577669
50,Al_Ru,0.0010075865949060467,0.0,0.27734670400123435,0.5292766951577047
51,Al_Sb,0.5090663934923716,0.09956958395158243,0.008867730116844484,0.0007455631706362357
52,Al_Se,0.3388081385416676,0.12246145041588141,0.021187326285457872,0.0009106636388314241
53,Al_Si,0.08822825995534689,0.0,0.2399117953446098,0.0083586069671073
54,Al_Sn,0.4951065340795427,0.0018260645818902932,0.011378325488198482,0.000960150808389768
55,Al_Ti,0.0,0.0,0.19574514936389453,0.09914254274415205
56,Al_V,0.0,0.0,0.16616633557777283,0.19491386878576303
57,Al_W,0.0019326864092574071,0.0,0.24887588772787034,0.4657843745067803
58,Al_Zn,0.3038895002966949,0.014105734230822004,0.02151477359144979,0.00012395480537876315
59,As_As,0.592985337568725,0.30357127492532476,0.0,0.0
60,As_Au,0.5631373347587846,0.45322328103824716,0.020392021268825413,0.0
61,As_Co,0.4854644041390168,0.29458581261542943,0.3053193914935132,0.2894215229519138
62,As_Cr,0.37565649774106086,0.2315698073279149,0.39202808633792735,0.1487070039154447
63,As_Cu,0.7124138423339463,0.3399685022972608,0.19651265664296402,0.0006114397067395734
64,As_Fe,0.4460637828240842,0.2914345154618906,0.2688806426055958,0.30455258031822213
65,As_Ga,0.7336118613968832,0.29369660846178275,0.004021003732751462,0.0
66,As_Ge,0.6958782813445574,0.04566715527080808,0.007953888835752723,0.0
67,As_In,0.8380651971971969,0.2212356906845931,0.0010417505076954219,0.0
68,As_Ir,0.4693048175829581,0.11364564469347757,0.34830095371525344,0.29842233607383345
69,As_Mn,0.5002469318791541,0.22369897799113134,0.2586113933321524,0.34108677262684184
70,As_Mo,0.29426431520071594,0.14849335619466075,0.3992431873000364,0.23229093609622176
71,As_Ni,0.5376014014156556,0.2777001715967326,0.3670558247621696,0.194499962209453
72,As_Os,0.46725094288616487,0.1190449266466365,0.3017861844817373,0.3152399472686591
73,As_Pb,0.8044068855214968,0.2958619213651431,0.0,0.0
74,As_Pd,0.5157472830940104,0.24987057664932893,0.42617841034907566,0.05447506087148368
75,As_Pt,0.5228479571266749,0.14192764905959507,0.4728856010102376,0.10184209433260162
76,As_Re,0.38100738200377676,0.09131027920854232,0.3770166846247378,0.2959334405208098
77,As_Rh,0.4236376765505536,0.19901947736827416,0.4717798978834149,0.24503420246451516
78,As_Ru,0.35348113876178716,0.20085151300095455,0.40908339903581664,0.33169633680453253
79,As_Sb,0.7980956091809197,0.32483804796610527,0.0,0.0
80,As_Se,0.3875255805500418,0.5139210350218562,0.0,0.0
81,As_Si,0.6243211608904369,0.16374275317655668,0.13597195965211192,0.007206024648758232
82,As_Sn,0.8704092248757904,0.16625697239534334,0.0,0.0
83,As_Ti,0.3482299827192677,0.2249443847832204,0.3041899096721265,0.031366517797587985
84,As_V,0.33658582479975524,0.2240589374118692,0.35305034227415183,0.11069711019095219
85,As_W,0.3265341265375629,0.1040311805805606,0.38661098769751867,0.24822888311751076
86,As_Zn,0.8018370205106059,0.2600921906401694,0.0021950958151105023,0.0
87,Au_Au,0.10690409302059334,0.8789527098467718,0.13478839788601107,0.0
88,Au_Co,0.013414851773922437,0.24164858725855878,0.4661347157380714,0.4002907486682449
89,Au_Cr,0.026468531975013452,0.1626676527232665,0.5173165759567895,0.21047257433505145
90,Au_Cu,0.2532610068499679,0.31942210264219895,0.29965883744947014,0.0
91,Au_Fe,0.01735591054357888,0.23077131711087429,0.45728024550954743,0.33593392650120796
92,Au_Ga,0.7439307487313661,0.5018610317466772,0.009156279825810541,0.0
93,Au_Ge,0.6075821001707697,0.7883784115706174,0.014319781456393801,0.0
94,Au_In,0.7861441526740881,0.6074903051055183,0.007510950581775597,0.0
95,Au_Ir,0.013020532163415718,0.1372805855633559,0.4021213766875989,0.46653045067285603
96,Au_Mn,0.03937357456515446,0.20359576712282754,0.3304382561549989,0.3691915231460573
97,Au_Mo,0.017994209607389063,0.14196391843081946,0.4164020096842428,0.49328622265763905
98,Au_Ni,0.016864675286965402,0.2641281819094798,0.5707797595086885,0.3148938924864396
99,Au_Os,0.032014139143159835,0.12970901654796654,0.35262782699857276,0.49868054362833814
100,Au_Pb,0.755247449061565,0.6877400970078578,0.01113952889166185,0.0
101,Au_Pd,0.013075698640386183,0.24421874413143976,0.6908378796850836,0.17669229508400155
102,Au_Pt,0.01114921772449351,0.15626496221325528,0.5527303656097006,0.35226266536549744
103,Au_Re,0.03026719515968589,0.11523178587714941,0.3397282167786358,0.49614248735265626
104,Au_Rh,0.022196693562939365,0.21159294128127473,0.4994228516550969,0.45079522032510083
105,Au_Ru,0.019077510185840182,0.18660245751606314,0.3565653584539396,0.5416312823662534
106,Au_Sb,0.6424413423832004,0.8616885905893819,0.014992052978341339,0.0
107,Au_Se,0.4341391009196354,0.5102601473272841,0.027429764160317567,0.0
108,Au_Si,0.3850025070410804,0.3766273244794981,0.18358129011063587,0.003180879895339051
109,Au_Sn,0.7570891696217151,0.6785398564729097,0.012229935647745155,0.0
110,Au_Ti,0.029464992894097545,0.17495454919743494,0.3618364877861747,0.13021427107832467
111,Au_V,0.03832820727754343,0.1596911798796329,0.37424226258931637,0.2322350169081049
112,Au_W,0.023815685761505723,0.09779300329862577,0.37912171199146477,0.46782918032427
113,Au_Zn,0.608748915100851,0.612970320950151,0.014371639199824846,0.0
114,Co_Co,0.0,0.0,0.19235174660157317,0.9306866524240749
115,Co_Cr,0.0,0.0,0.17848461737059487,0.7106217944384534
116,Co_Cu,0.047981504205483395,0.0,0.5478806002716938,0.5710568708781311
117,Co_Fe,0.0,0.0,0.15405311000531305,0.8852716330413163
118,Co_Ga,0.4897968724187046,0.04730225850421387,0.23524260232756922,0.32425171289678223
119,Co_Ge,0.45337151013751814,0.042274783032255396,0.1996663862772757,0.305551316238283
120,Co_In,0.512603550769906,0.013328397827450572,0.11961495804466947,0.3471677484478839
121,Co_Ir,0.0,0.0,0.2772676988182962,0.8876464141128907
122,Co_Mn,0.0,0.0,0.1168364020858825,0.9635249511626656
123,Co_Mo,0.0,0.0,0.14063891914050416,0.8361112842321002
124,Co_Ni,0.0,0.0,0.1992165593965354,0.9319226939390661
125,Co_Os,0.0,0.0,0.21843076746384874,0.8641752988107346
126,Co_Pb,0.5208207361401634,0.14795415535944745,0.2094101280055377,0.310388613529983
127,Co_Pd,0.0,0.0,0.5498169652603937,0.7741293223032694
128,Co_Pt,0.0,0.0,0.44864421399767024,0.8706147589111464
129,Co_Re,0.0003315918109006774,0.0,0.15177375464924492,0.8424644461441563
130,Co_Rh,0.0,0.0,0.2410464387973063,0.9568633430809924
131,Co_Ru,0.0,0.0,0.14147288272979544,0.9694192044295957
132,Co_Sb,0.5231786534919375,0.33816402590641115,0.1430668651623623,0.3112919704290676
133,Co_Se,0.29156751199522574,0.47938050857816683,0.24502106938787632,0.24047411245354974
134,Co_Si,0.24143549281865082,0.00209494088200274,0.38409648840305305,0.2874606931382372
135,Co_Sn,0.5726968946902442,0.20398086669403992,0.11907733585278715,0.33894725005838455
136,Co_Ti,0.00022080640929696347,0.0,0.04868475060211681,0.5133638630412158
137,Co_V,0.0,0.0,0.07808078535910028,0.5879863259173687
138,Co_W,0.00011039953076733587,0.0,0.1709669655204849,0.8303721435601109
139,Co_Zn,0.36886877642906546,0.05369384380091102,0.33056601767262944,0.36761625948913745
140,Cr_Cr,0.0,0.0,0.18064214224412997,0.29815063247555357
141,Cr_Cu,0.12553808345761605,0.0,0.6150705657478048,0.26737383097795997
142,Cr_Fe,0.0,0.0,0.20588172638365887,0.6023363795179931
143,Cr_Ga,0.24502973804845793,0.0005244131798925482,0.37140387237019873,0.1707015369367927
144,Cr_Ge,0.32045782255548627,0.02336369642932349,0.4071498039086274,0.1834210929770766
145,Cr_In,0.39810057242055824,0.0,0.3494616824518019,0.17247838243812272
146,Cr_Ir,0.0,0.0,0.34937325263738955,0.7509072577627917
147,Cr_Mn,0.0,0.0,0.14720806761979152,0.524657419517788
148,Cr_Mo,0.0,0.0,0.16412079553319814,0.37172818732470675
149,Cr_Ni,0.00022088946029207566,0.0,0.2842763634381273,0.6570712128160677
150,Cr_Os,0.0004421749826494644,0.0,0.2453311419837446,0.7562988858614117
151,Cr_Pb,0.46218524228067337,0.05526839341259462,0.30182219996841325,0.17898487234853092
152,Cr_Pd,0.0007746591297804425,0.0,0.7699058305360925,0.4624389064047728
153,Cr_Pt,0.0007745540039976796,0.0,0.6376462933326744,0.6815028649108082
154,Cr_Re,0.00022150170471641877,0.0,0.2220808502467001,0.7517796048507661
155,Cr_Rh,0.0,0.0,0.47230163881850756,0.7561097217260608
156,Cr_Ru,0.0,0.0,0.20336591469995116,0.7648035118653599
157,Cr_Sb,0.45046381922888684,0.21237317293566235,0.3713314135614139,0.20153288454205004
158,Cr_Se,0.25620836964565064,0.32108990275583554,0.2682240621486192,0.1494560745945898
159,Cr_Si,0.18633021705948297,0.0,0.528594138113241,0.16365008411932003
160,Cr_Sn,0.5191106386665743,0.02655062570474294,0.31679663691116217,0.1774685895221247
161,Cr_Ti,0.0,0.0,0.1042121890962319,0.10040716128430406
162,Cr_V,0.0,0.0,0.12900441568209287,0.19222197044035566
163,Cr_W,0.00022080379276091935,0.0,0.22484622049291342,0.665272284809196
164,Cr_Zn,0.286205056741892,0.013096074980023048,0.38572095304667997,0.2530960029658905
165,Cu_Cu,0.3419487512440067,0.0,0.639809117440397,0.0
166,Cu_Fe,0.08777533760067656,0.0,0.4958556217392628,0.5644372261300392
167,Cu_Ga,0.7348467859025614,0.07407056095631077,0.21851638173492285,0.0
168,Cu_Ge,0.6729485017532412,0.11319964536388893,0.24080530174089104,5.736598647588358e-05
169,Cu_In,0.7600484169302022,0.06266519974019534,0.2555415994915958,0.0
170,Cu_Ir,0.14008851114994875,0.0,0.5176654512427173,0.5301248576868333
171,Cu_Mn,0.13003785668274534,0.0,0.5554583744145138,0.5285899819496604
172,Cu_Mo,0.11123741887364691,0.0,0.44003386836153097,0.4579666055459802
173,Cu_Ni,0.058874032914139916,0.0,0.7145618947239473,0.4566835355068823
174,Cu_Os,0.13965742093306657,0.0,0.44789031251455935,0.5286126137195759
175,Cu_Pb,0.8294585038522412,0.22559267589401347,0.20210814010596237,0.0
176,Cu_Pd,0.08113318886027863,0.0,1.0,0.21540650037194906
177,Cu_Pt,0.13679721747513351,0.0,0.6872492112103064,0.46184705521654595
178,Cu_Re,0.1380685512068707,0.0,0.43424536275986225,0.5123588365706864
179,Cu_Rh,0.10996750833873396,0.0,0.5137476513196162,0.5762128169111522
180,Cu_Ru,0.10723086446860443,0.0,0.41344444184185725,0.6028574193046755
181,Cu_Sb,0.7714984919178259,0.4663488564602873,0.17690933269461873,0.0
182,Cu_Se,0.5607964828065606,0.4448770626289527,0.16215815059584088,0.0
183,Cu_Si,0.4400833967626841,0.014496961881984292,0.3332323447571828,0.005111640815150198
184,Cu_Sn,0.8373453605454101,0.2820083482474075,0.19386965950658724,0.00011383847836600336
185,Cu_Ti,0.11671602406938617,0.0,0.37218897594821704,0.2066932736642909
186,Cu_V,0.10719023478876029,0.0,0.366225627548978,0.23022623177754617
187,Cu_W,0.1507164666824453,0.0,0.4256971692747478,0.48322619718679116
188,Cu_Zn,0.6798786221532809,0.0675802207465223,0.2553538532673468,0.0
189,Fe_Fe,0.0,0.0,0.16972762883629397,0.6509336058634914
190,Fe_Ga,0.42003353047379827,0.00993284184714308,0.22348189027141355,0.3190847123909892
191,Fe_Ge,0.42044486510398976,0.02059903660140504,0.24176760356010688,0.295701933226007
192,Fe_In,0.46991152284844423,0.0,0.1743733844159957,0.3228321280696978
193,Fe_Ir,0.0,0.0,0.2911869819664609,0.8568439660671823
194,Fe_Mn,0.0,0.0,0.12760785440375763,0.9261156614630205
195,Fe_Mo,0.0,0.0,0.1581357822234309,0.7711356114880711
196,Fe_Ni,0.0006656675712680829,0.0,0.21709394318273317,0.8619214170856435
197,Fe_Os,0.0,0.0,0.2251108933494381,0.8347961520786392
198,Fe_Pb,0.501655734894516,0.10395713636552818,0.23855154768828885,0.2982753986682552
199,Fe_Pd,0.0,0.0,0.5425807200864378,0.7286012016081015
200,Fe_Pt,0.0,0.0,0.4964239773968121,0.8130583062240748
201,Fe_Re,0.0,0.0,0.1462873511576733,0.8165545097611748
202,Fe_Rh,0.0,0.0,0.2631717719865968,0.9279135937800098
203,Fe_Ru,0.0,0.0,0.13512520830820757,0.9351695267656615
204,Fe_Sb,0.491946966195251,0.35110058898951485,0.15625988262820661,0.29906797248531974
205,Fe_Se,0.2788095249400957,0.42443750779766815,0.2604153613405805,0.23893359173689802
206,Fe_Si,0.21028577789157696,0.0015812273761886663,0.4833549733805453,0.28444142189764204
207,Fe_Sn,0.5478686628860738,0.11769658663511207,0.2114125113817209,0.31743727416613143
208,Fe_Ti,0.0,0.0,0.05304669786902624,0.4143668949036013
209,Fe_V,0.0,0.0,0.07891770028387741,0.48097137295177983
210,Fe_W,0.0,0.0,0.16754273180112994,0.8002508064548183
211,Fe_Zn,0.38580073992565705,0.03670719889770904,0.31098611917741936,0.35218791155435303
212,Ga_Ga,0.8515788369799583,0.0,0.0,0.0
213,Ga_Ge,0.8374959313890862,0.08910553195080827,0.0020457100936150468,0.0
214,Ga_In,0.8765874041261108,0.00496141214664161,0.0,0.0
215,Ga_Ir,0.32155913122628943,0.024069762112257836,0.3732281019240628,0.30352440476999804
216,Ga_Mn,0.3277700744045246,0.0,0.26194299630169054,0.3677769362069721
217,Ga_Mo,0.2703548834685934,0.002872317625912557,0.2942171867762491,0.3916456189145498
218,Ga_Ni,0.49626935064344846,0.05864260463908671,0.28973838344965375,0.23041917563358338
219,Ga_Os,0.31384203656818943,0.005253321895094641,0.29640826892348543,0.3990247415877805
220,Ga_Pb,0.9032102141654152,0.04814498455856375,0.0,0.0
221,Ga_Pd,0.5449036993598108,0.06582253686231225,0.3514585517382182,0.056162473746484795
222,Ga_Pt,0.46757342439819255,0.06536504259158049,0.36446916443603633,0.1635252961527915
223,Ga_Re,0.27338359770248344,0.0007888569351633222,0.2520362379196538,0.443198029009026
224,Ga_Rh,0.4257494842911321,0.034078676343752085,0.4180330983808162,0.28890542791340174
225,Ga_Ru,0.3338362288312001,0.018084555639269393,0.3077195866343252,0.4008264825667395
226,Ga_Sb,0.8964081497551915,0.16442780182903016,0.0,0.0
227,Ga_Se,0.6060646008937466,0.23712592520649117,0.0002923197689511218,0.0
228,Ga_Si,0.36993240747435796,0.0,0.09140928004446569,0.005864044793228729
229,Ga_Sn,0.9528012270882905,0.0502751825551103,0.0,0.0
230,Ga_Ti,0.21790151628401996,0.0016596350176513216,0.28250022588575435,0.044007266687417314
231,Ga_V,0.25965578107399107,0.0018299991038349035,0.2923437355339341,0.2146170688190324
232,Ga_W,0.244020456896506,0.0,0.23320481458714293,0.4331499807227095
233,Ga_Zn,0.7647432472803836,0.00444207751159093,0.0,0.0
234,Ge_Ge,0.3827822411717947,0.0,0.020230139022593657,0.0
235,Ge_In,0.9030871850354317,0.0429764916186513,0.0008767569436518766,0.0
236,Ge_Ir,0.421255607242884,0.06433315500235459,0.30117667410408566,0.3022025785845341
237,Ge_Mn,0.3790682648348114,0.027738858690854067,0.24169589339671002,0.34973420688374346
238,Ge_Mo,0.31451399175310263,0.010714758972593748,0.3646676484025002,0.34288294329521724
239,Ge_Ni,0.4947177470461216,0.03200683602492341,0.27605331118407933,0.22398009490289403
240,Ge_Os,0.35062196069937496,0.059904599909069794,0.34797816303020346,0.3076191455419158
241,Ge_Pb,0.9338270926491173,0.12861105970955128,0.0008767569436518766,0.0
242,Ge_Pd,0.5308411251713143,0.11701885573811205,0.3962433133276749,0.05443216951528457
243,Ge_Pt,0.4799553674706397,0.1256763102315427,0.41103172346574324,0.1354346996410116
244,Ge_Re,0.35146852254253946,0.015266042453246533,0.35003053701754805,0.3690026164003822
245,Ge_Rh,0.44256451378027306,0.024400585678648265,0.41791327592542654,0.27821358413299435
246,Ge_Ru,0.36732994363762395,0.019080796527266394,0.3685843258127157,0.3593624772660673
247,Ge_Sb,0.8624875614096214,0.13484892808570878,0.00175342619056718,0.0
248,Ge_Se,0.5774799926892066,0.3129811501366628,0.001022960415497018,0.0
249,Ge_Si,0.3698927839020043,0.0013086955674525605,0.07420765440526514,0.005829259447821395
250,Ge_Sn,0.8891227127954043,0.03854803491100623,0.0014620519606264421,0.0
251,Ge_Ti,0.31981049128185335,0.00889901673764421,0.32342817682437836,0.08616375689567114
252,Ge_V,0.31842802272706255,0.008957219319765803,0.3222866121663871,0.23244622795989828
253,Ge_W,0.33875965008019543,0.04459197979339483,0.33432152941098525,0.37647556204875876
254,Ge_Zn,0.8445175752125927,0.08841184301186272,0.0016081762911286782,0.0
255,In_In,0.9518980808338428,0.0,0.0,0.0
256,In_Ir,0.38265843669294586,0.009813127280030236,0.3170093246655387,0.31286121102934317
257,In_Mn,0.4662509817471259,0.0,0.22302148111315226,0.3354580661323257
258,In_Mo,0.3766503248079607,0.002094425903277219,0.3226002035917266,0.3718158756769838
259,In_Ni,0.5461176952288395,0.02070260528612038,0.2699102120151535,0.25818622958421583
260,In_Os,0.35217303332811706,0.0015670740693462981,0.27278743342830636,0.435877757065042
261,In_Pb,0.9707492245037478,0.0214062119348418,0.0,0.0
262,In_Pd,0.5493245120319048,0.05694064435248071,0.37588475617075917,0.07730921524855244
263,In_Pt,0.44458932201294843,0.05091062430154317,0.3974540288095825,0.18050805833374228
264,In_Re,0.3626952171590625,0.0023540283714276232,0.3058120184346619,0.4208879675316594
265,In_Rh,0.40834737978733526,0.018345984745884128,0.3729183331974257,0.3141693390036634
266,In_Ru,0.3843873877367374,0.001832583410860729,0.335079128959948,0.42286420729814983
267,In_Sb,0.93656680109606,0.17412297900847715,0.0,0.0
268,In_Se,0.69010993744572,0.23983628991743974,0.0,0.0
269,In_Si,0.623937211915883,0.0,0.10905885052718747,0.0065628718714829575
270,In_Sn,1.0,0.0031353721406992357,0.0,0.0
271,In_Ti,0.3564355818207014,0.0042842648050063735,0.2087983551123564,0.03464266050291226
272,In_V,0.3483805060250733,0.0023597328793914223,0.23993023957027454,0.1505017781769448
273,In_W,0.33368602416202886,0.0031635689755552827,0.26896724715362685,0.46293235025751306
274,In_Zn,0.9119420282224562,0.030225068295766724,0.0,0.0
275,Ir_Ir,0.0,0.0,0.4690397537982862,0.7016020579017367
276,Ir_Mn,0.0,0.0,0.3126068132980623,0.8946693316644638
277,Ir_Mo,0.0,0.0,0.2538402178897383,0.812659363730194
278,Ir_Ni,0.0,0.0,0.36863421985130745,0.852527045063147
279,Ir_Os,0.0,0.0,0.32586269799022105,0.7594848101439338
280,Ir_Pb,0.41526532525714305,0.07258851005679862,0.257893644880846,0.3085376472419258
281,Ir_Pd,0.0,0.0,0.5289966706563135,0.7605669490239881
282,Ir_Pt,0.0,0.0,0.4139558236745348,0.7883569411585215
283,Ir_Re,0.0004428817602389449,0.0,0.342765873749687,0.7482242749082614
284,Ir_Rh,0.0,0.0,0.3177323490022186,0.8713870779488728
285,Ir_Ru,0.0,0.0,0.24058326414493206,0.8563088360533794
286,Ir_Sb,0.44257868650710824,0.23644674754471648,0.25999998898611326,0.28863706479939427
287,Ir_Se,0.25491396042553155,0.36867355847338,0.26695044742046764,0.2837321671747477
288,Ir_Si,0.13849385552593632,0.0,0.3908966169378662,0.3089221884913389
289,Ir_Sn,0.4393043861174045,0.05593521901133419,0.22355847453787467,0.29999967756966767
290,Ir_Ti,0.0008881562829274936,0.0,0.22326383356035567,0.527067645596036
291,Ir_V,0.0004424599993278458,0.0,0.23511551334857891,0.6426141556061474
292,Ir_W,0.0008841363505703808,0.0,0.34686037415880777,0.7493107618918369
293,Ir_Zn,0.3685193988666728,0.06454437571405862,0.3202749507336031,0.36687017654104903
294,Mn_Mn,0.0,0.0,0.10765366804526691,0.8851972913789613
295,Mn_Mo,0.0,0.0,0.11267418025468684,0.7854251745656834
296,Mn_Ni,0.0,0.0,0.21818654738433022,0.9181206576819906
297,Mn_Os,0.0,0.0,0.23422072765748755,0.8986025875353024
298,Mn_Pb,0.539782344015484,0.06734610652199897,0.11506574778578608,0.3569443398296028
299,Mn_Pd,0.0,0.0,0.7843164706314513,0.5805571073746781
300,Mn_Pt,0.0001104040334216426,0.0,0.6284719059794173,0.7872845929593449
301,Mn_Re,0.0002208384962811296,0.0,0.14570316027035382,0.9062354758041915
302,Mn_Rh,0.0,0.0,0.2951495566611891,0.9700081076755157
303,Mn_Ru,0.0,0.0,0.1774738945474657,1.0
304,Mn_Sb,0.5380550415639246,0.2783835419378461,0.16736938588169825,0.35538354420940454
305,Mn_Se,0.22302598075401975,0.3347556401903156,0.1294527316200296,0.3254694717285348
306,Mn_Si,0.13012155309326767,0.0,0.49063042332257967,0.36231739909269356
307,Mn_Sn,0.58765260778892,0.11474603016961245,0.1622419471711944,0.3406876585941083
308,Mn_Ti,0.0,0.0,0.09013314665559155,0.42882787232107195
309,Mn_V,0.0,0.0,0.10890632888293283,0.4775621388991082
310,Mn_W,0.00022080645560904988,0.0,0.20105836335787014,0.8432279706153142
311,Mn_Zn,0.3229151751294503,0.00549035132469562,0.3137561264231267,0.40321926510618245
312,Mo_Mo,0.0,0.0,0.38067344451902174,0.6930707134683725
313,Mo_Ni,0.0005533506364542662,0.0,0.23953337070388042,0.7954673390135216
314,Mo_Os,0.0,0.0,0.25424366841132934,0.7947974199484766
315,Mo_Pb,0.3693371587813567,0.05193373534074013,0.35346870083370024,0.33219403954654764
316,Mo_Pd,0.0,0.0,0.5400184131151812,0.7356646343910478
317,Mo_Pt,0.0002209258830962984,0.0,0.3845001858888465,0.756594358146237
318,Mo_Re,0.0001104481502682457,0.0,0.26115912611073333,0.7816175290354662
319,Mo_Rh,0.0,0.0,0.30493782735855834,0.8377362364633704
320,Mo_Ru,0.0,0.0,0.2250278774472825,0.8388385844322926
321,Mo_Sb,0.370637202771893,0.16595365274552215,0.3567949616210965,0.3426740494444992
322,Mo_Se,0.14638707207505972,0.2848142901488112,0.2787660452274807,0.19740488249572583
323,Mo_Si,0.1191960730838212,0.0,0.4205207802730392,0.36990881790491165
324,Mo_Sn,0.3824900464129691,0.01982216342843489,0.36441079647393176,0.3225503796216088
325,Mo_Ti,0.0,0.0,0.09539579481881305,0.2526322707869477
326,Mo_V,0.0,0.0,0.16284754067432217,0.39787228380688133
327,Mo_W,0.0,0.0,0.3157597155971349,0.7467089466117217
328,Mo_Zn,0.3318609524437259,0.032708633555684395,0.3108386708457855,0.31508392621888737
329,Ni_Ni,0.0,0.0,0.35586791727190326,0.8556133359276474
330,Ni_Os,0.0,0.0,0.2984388669995536,0.8388935955315919
331,Ni_Pb,0.577117757194526,0.20034183686389517,0.29420466081927904,0.18904599231382738
332,Ni_Pd,0.00011047037927180322,0.0,0.6647284991330135,0.734667928327511
333,Ni_Pt,0.0,0.0,0.4779399353618807,0.839535146886355
334,Ni_Re,0.0003346471762047064,0.0,0.26868662560687895,0.8170487565128286
335,Ni_Rh,0.0,0.0,0.3391380131188189,0.9147862545329503
336,Ni_Ru,0.0,0.0,0.21989779999042935,0.9591865249531053
337,Ni_Sb,0.5813729524574722,0.2478694948789038,0.255431366199508,0.20677684062833487
338,Ni_Se,0.31050202395782867,0.5351315543794545,0.2913948023282519,0.13340638106338507
339,Ni_Si,0.2829577078614651,0.0005265201894310238,0.3951660813514706,0.20240833781208323
340,Ni_Sn,0.6133698936824963,0.20978351029198566,0.22359224121959875,0.24340387342273412
341,Ni_Ti,0.00022093922257933741,0.0,0.16279779191155305,0.5142978589095437
